,id,title,series,author,rating_count,review_count,number_of_pages,date_published,publisher,genre,isbn,description,awards,rating
33,5060378,The Girl Who Played with Fire,Millennium,Stieg Larsson,861279.0,35093.0,503.0,2009.0,Alfred A. Knopf,Fiction,1,1156,5,4.24
34,49628,Cloud Atlas,Single,David Mitchell,236040.0,20212.0,509.0,2004.0,Random House,Fiction,1,2295,9,4.0
35,39832183,The Guernsey Literary and Potato Peel Pie Society,Single,Mary Ann Shaffer,669780.0,57014.0,291.0,2018.0,Dial Press,Historical,1,1955,2,4.17
36,1162543,Breaking Dawn,The Twilight Saga,Stephenie Meyer,1455203.0,48807.0,756.0,2008.0,"Little, Brown and Company",Young Adult,1,2028,3,3.71
37,1656001,The Host,The Host,Stephenie Meyer,952662.0,42181.0,624.0,2008.0,"Little, Brown and Company",Young Adult,1,1006,0,3.85
38,428263,Eclipse,The Twilight Saga,Stephenie Meyer,1564978.0,39685.0,629.0,2007.0,"Little, Brown and Company",Young Adult,1,1425,2,3.71
39,6892870,The Girl Who Kicked the Hornet's Nest,Millennium,Stieg Larsson,690048.0,29757.0,566.0,2010.0,Knopf,Fiction,1,1281,4,4.22
41,49041,New Moon,The Twilight Saga,Stephenie Meyer,1621767.0,50282.0,563.0,2006.0,"Little, Brown and Company",Young Adult,0,1966,5,3.56
42,186074,The Name of the Wind,The Kingkiller Chronicle,Patrick Rothfuss,801654.0,45894.0,662.0,2007.0,Penguin Group DAW,Fantasy,1,1019,7,4.51
43,4929,Kafka on the Shore,Single,Haruki Murakami,358892.0,26043.0,467.0,2006.0,Vintage International,Fiction,1,1467,6,4.13
44,3777732,City of Glass,The Mortal Instruments,Cassandra Clare,873017.0,30272.0,541.0,2009.0,Margaret K. McElderry Books,Fantasy,1,1557,3,4.29
45,2213661,The Graveyard Book,Single,Neil Gaiman,483566.0,34003.0,312.0,2008.0,HarperCollins,Fantasy,1,1129,15,4.13
46,31685789,Room,Single,Emma Donoghue,767321.0,48173.0,321.0,2010.0,"Little, Brown and Company",Fiction,0,1567,16,4.06
47,19288043,Gone Girl,Single,Gillian Flynn,2573341.0,137277.0,415.0,2014.0,Broadway Books,Fiction,0,2243,8,4.09
48,1582996,City of Ashes,The Mortal Instruments,Cassandra Clare,832734.0,31815.0,453.0,2008.0,Margaret K. McElderry Books,Fantasy,1,1719,2,4.13
49,1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Freakonomics,Steven D. Levitt,772025.0,17281.0,268.0,2006.0,William Morrow,Nonfiction,1,2588,3,3.99
50,3805,The Corrections,Single,Jonathan Franzen,168046.0,9838.0,653.0,2002.0,Fourth Estate Paperbacks,Fiction,1,2817,8,3.8
51,9361589,The Night Circus,Single,Erin Morgenstern,786260.0,82165.0,528.0,2011.0,Doubleday,Fantasy,1,1542,8,4.03
52,297673,The Brief Wondrous Life of Oscar Wao,Single,Junot Díaz,244932.0,20052.0,335.0,2007.0,Riverhead Books,Fiction,1,1377,9,3.89
54,40440,The Thirteenth Tale,Single,Diane Setterfield,296233.0,24141.0,406.0,2006.0,Atria Books,Fiction,1,2135,3,3.96
55,12691,Marley and Me: Life and Love With the World's Worst Dog,Single,John Grogan,462449.0,14406.0,291.0,2005.0,William Morrow; 1ST edition,Nonfiction,1,1759,1,4.12
56,18660669,Vampire Academy,Vampire Academy,Richelle Mead,601707.0,23364.0,332.0,2013.0,Razorbill,Young Adult,1,1390,0,4.11
57,5826,Bel Canto,Single,Ann Patchett,257158.0,16113.0,318.0,2005.0,Harper Perennial,Fiction,0,1017,5,3.92
58,3153910,The Art of Racing in the Rain,Single,Garth Stein,475076.0,40301.0,321.0,2008.0,Harper Collins,Fiction,1,1181,0,4.21
59,37470,The Other Boleyn Girl,The Plantagenet and Tudor Novels,Philippa Gregory,475757.0,17074.0,661.0,2003.0,Washington Square Press,Historical,0,1260,2,4.07
60,12497,No Country for Old Men,Single,Cormac McCarthy,176930.0,8735.0,309.0,2006.0,Vintage,Fiction,1,1270,5,4.09
62,991197,The Complete Persepolis,Persepolis,Marjane Satrapi,151790.0,9331.0,341.0,2007.0,Pantheon Books,Sequential Art,1,1379,0,4.33
63,21,A Short History of Nearly Everything,Single,Bill Bryson,340187.0,13556.0,544.0,2004.0,Crown Publishing Group (NY),Nonfiction,1,1356,3,4.18
64,33917,The Namesake,Single,Jhumpa Lahiri,248805.0,12781.0,291.0,2004.0,Mariner Books,Fiction,1,2314,2,3.99
65,256566,Everything Is Illuminated,Single,Jonathan Safran Foer,173948.0,8081.0,276.0,2003.0,Harper Perennial,Fiction,1,869,5,3.88
66,46756,Oryx and Crake,MaddAddam,Margaret Atwood,241504.0,14476.0,389.0,2004.0,Anchor Books,Fiction,1,1071,5,4.0
67,1103,Snow Flower and the Secret Fan,Single,Lisa See,356402.0,18393.0,269.0,2006.0,Random House,Historical,1,1286,3,4.07
68,14201,Jonathan Strange & Mr Norrell,Single,Susanna Clarke,221415.0,15343.0,1006.0,2006.0,Tor Books,Fantasy,0,2349,9,3.83
69,18143977,All the Light We Cannot See,Single,Anthony Doerr,1203222.0,82782.0,531.0,2014.0,Scribner,Historical,1,1538,11,4.32
71,14743,The God Delusion,Single,Richard Dawkins,253554.0,8719.0,374.0,2006.0,Houghton Mifflin Co. (Boston/NY),Nonfiction,1,1357,1,3.89
73,28881,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Single,Christopher Moore,166340.0,12209.0,444.0,2004.0,William Morrow / HarperCollins / Harper Perennial,Fiction,1,1232,0,4.2
75,49436,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Single,Greg Mortenson,343051.0,22255.0,349.0,2007.0,Penguin,Nonfiction,1,1207,5,3.65
76,556602,Sarah's Key,Single,Tatiana de Rosnay,447529.0,29815.0,294.0,2007.0,St. Martins Press,Historical,1,1801,0,4.16
77,14866,Nineteen Minutes,Single,Jodi Picoult,320737.0,16515.0,440.0,2007.0,Atria Books,Fiction,1,1898,3,4.12
78,3109,The Omnivore's Dilemma: A Natural History of Four Meals,Single,Michael Pollan,198431.0,13310.0,450.0,2006.0,The Penguin Press,Nonfiction,1,3204,3,4.15
79,4952,What Is the What,Single,Dave Eggers,87393.0,7266.0,475.0,2006.0,McSweeney's,Fiction,1,1113,3,4.08
80,39999,The Boy in the Striped Pajamas,Single,John Boyne,617727.0,29666.0,240.0,2006.0,David Fickling Books,Historical,0,579,5,4.15
83,1768603,The White Tiger,Single,Aravind Adiga,176702.0,11546.0,276.0,2008.0,Free Press,Fiction,1,2645,5,3.75
84,99561,Looking for Alaska,Single,John Green,1267260.0,61110.0,221.0,2006.0,Speak,Young Adult,0,1063,11,4.0
85,25036229,Una Historia de Ayer,Single,Sergio Cobo,23070.0,856.0,75.0,2014.0,Speak,Thriller,0,247,0,4.45
87,10644930,11/22/63,Single,Stephen King,471101.0,40720.0,849.0,2011.0,Scribner,Fiction,1,1906,7,4.29
88,2731276,The Story of Edgar Sawtelle,Single,David Wroblewski,99795.0,13810.0,566.0,2008.0,Ecco,Fiction,1,1669,6,3.62
89,187020,Empire Falls,Single,Richard Russo,120389.0,4648.0,483.0,2002.0,Vintage Books,Fiction,1,1328,2,3.91
91,9969571,Ready Player One,Ready Player One,Ernest Cline,983563.0,93052.0,374.0,2011.0,Crown Publishers,Science Fiction,1,1136,10,4.24
92,2203,John Adams,Single,David McCullough,343837.0,6613.0,751.0,2001.0,Simon & Schuster Paperbacks,History,1,4268,5,4.04
94,1241,A Million Little Pieces,Single,James Frey,240075.0,11934.0,515.0,2005.0,Anchor Books,Fiction,1,1585,0,3.66
95,8600,"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation",Single,Lynne Truss,107415.0,4988.0,209.0,2006.0,The Penguin Group,Nonfiction,1,1206,0,3.85
96,43369,God Is Not Great: How Religion Poisons Everything,Single,Christopher Hitchens,101659.0,4943.0,307.0,2007.0,Twelve,Nonfiction,1,1045,1,3.93
97,11735983,Insurgent,Divergent,Veronica Roth,1291206.0,60059.0,525.0,2012.0,HarperCollins Children's Books,Young Adult,1,1529,2,4.0
99,1379961,People of the Book,Single,Geraldine Brooks,137531.0,11884.0,372.0,2008.0,Viking Books,Historical,1,2096,6,4.0
100,3591262,Cutting for Stone,Single,Abraham   Verghese,353409.0,26252.0,541.0,2009.0,Alfred A. Knopf,Fiction,1,1573,5,4.29
101,7171637,Clockwork Angel,The Infernal Devices,Cassandra Clare,753371.0,35514.0,479.0,2010.0,Margaret K. McElderry Books,Fantasy,1,1197,7,4.3
102,17333223,The Goldfinch,Single,Donna Tartt,795170.0,65376.0,771.0,2013.0,"Little, Brown",Fiction,1,1459,6,3.92
103,85301,Unaccustomed Earth,Single,Jhumpa Lahiri,92271.0,8174.0,352.0,2008.0,Knopf,Fiction,1,1999,4,4.07
104,18007564,The Martian,The Martian,Andy Weir,920201.0,77155.0,384.0,2014.0,Crown,Science Fiction,1,1274,9,4.4
106,80660,We Need to Talk About Kevin,Single,Lionel Shriver,187708.0,14786.0,400.0,2006.0,Harper Perennial,Fiction,1,1127,1,4.04
108,25460,"Animal, Vegetable, Miracle: A Year of Food Life",Single,Barbara Kingsolver,110256.0,10944.0,370.0,2007.0,HarperCollins Publishers,Nonfiction,1,1978,1,4.01
109,113436,Eragon,The Inheritance Cycle,Christopher Paolini,1554480.0,23622.0,503.0,2005.0,Alfred A. Knopf,Fantasy,1,1233,19,3.92
110,17061,Coraline,Single,Neil Gaiman,554681.0,24898.0,162.0,2006.0,William Morrow Paperbacks,Fantasy,1,1539,10,4.06
111,10664113,A Dance with Dragons,A Song of Ice and Fire,George R.R. Martin,594306.0,22817.0,1125.0,2011.0,Bantam,Fantasy,0,1862,5,4.31
112,3431,The Five People You Meet in Heaven,The Five People You Meet in Heaven,Mitch Albom,623270.0,22396.0,196.0,2003.0,Hyperion,Fiction,1,1297,1,3.95
113,5064,World Without End,Kingsbridge,Ken Follett,223506.0,12066.0,1014.0,2007.0,Dutton,Historical,0,1225,0,4.26
115,56305116,The Outlands,The Outlands Saga,Tyler Edwards,691.0,145.0,452.0,2020.0,iFlow Creative,Young Adult,0,1164,0,4.17
116,67,The Known World,Single,Edward P. Jones,42395.0,3362.0,388.0,2006.0,Amistad,Historical,1,1039,5,3.79
117,3236307,Graceling,Graceling Realm,Kristin Cashore,427460.0,23771.0,471.0,2008.0,Harcourt,Fantasy,0,1171,15,4.06
120,6186357,The Maze Runner,The Maze Runner,James Dashner,1216022.0,58536.0,384.0,2009.0,Delacorte Press,Young Adult,1,969,8,4.03
121,13497,A Feast for Crows,A Song of Ice and Fire,George R.R. Martin,667442.0,22420.0,1061.0,2011.0,Bantam Books,Fantasy,1,1191,2,4.14
122,7905092,Freedom,Single,Jonathan Franzen,159718.0,14083.0,562.0,2010.0,"Farrar, Straus and Giroux",Fiction,1,1929,6,3.76
123,28186,The Sea of Monsters,Percy Jackson and the Olympians,Rick Riordan,872548.0,31719.0,279.0,2006.0,Hyperion Books,Fantasy,1,985,0,4.24
124,7822895,"The Millennium Trilogy (Millennium Trilogy, #1-3)",Single,Stieg Larsson,54156.0,1838.0,1531.0,2010.0,Knopf Doubleday Publishing Group,Fiction,1,2280,0,4.41
125,29844228,Thirteen Reasons Why,Single,Jay Asher,849699.0,53238.0,352.0,2016.0,Razorbill,Young Adult,1,1101,7,3.89
126,2967752,The Elegance of the Hedgehog,Single,Muriel Barbery,164472.0,18942.0,325.0,2008.0,Europa Editions,Fiction,1,1899,5,3.78
127,8908,World War Z: An Oral History of the Zombie War,World War Z,Max Brooks,478025.0,26930.0,342.0,2006.0,Crown,Horror,1,2461,4,4.01
128,33600,Shantaram,Shantaram,Gregory David Roberts,190376.0,14362.0,936.0,2004.0,Scribe,Fiction,1,2169,1,4.23
130,561456,The Titan's Curse,Percy Jackson and the Olympians,Rick Riordan,799469.0,25012.0,320.0,2007.0,Puffin Books,Fantasy,1,717,1,4.34
131,2802316,Shadow Kiss,Vampire Academy,Richelle Mead,352754.0,11832.0,443.0,2008.0,Razorbill,Young Adult,1,1562,1,4.32
132,2282133,Frostbite,Vampire Academy,Richelle Mead,339108.0,11918.0,327.0,2008.0,Razorbill,Young Adult,0,1356,0,4.24
133,63032,2666,2666,Roberto Bolaño,38159.0,4113.0,1128.0,2004.0,Anagrama,Fiction,1,1415,7,4.13
134,2120932,The Battle of the Labyrinth,Percy Jackson and the Olympians,Rick Riordan,847713.0,22883.0,361.0,2008.0,Hyperion Books for Children,Fantasy,0,1059,0,4.39
135,2318271,The Last Lecture,Single,Randy Pausch,327632.0,17917.0,206.0,2008.0,Hachette Books,Nonfiction,1,1464,1,4.23
136,6411961,The Lost Symbol,Robert Langdon,Dan Brown,565190.0,28042.0,509.0,2009.0,Doubleday,Fiction,1,2205,3,3.73
137,1736739,Olive Kitteridge,Olive Kitteridge,Elizabeth Strout,199907.0,21456.0,270.0,2008.0,Random House,Fiction,0,1286,4,3.83
138,9460487,Miss Peregrine's Home for Peculiar Children,Miss Peregrine's Peculiar Children,Ransom Riggs,1092173.0,63057.0,352.0,2011.0,Quirk,Fantasy,0,1394,5,3.91
139,17347634,Me Before You,Me Before You,Jojo Moyes,1308339.0,86373.0,369.0,2013.0,Penguin Books,Romance,1,1593,1,4.25
140,7603,Reading Lolita in Tehran: A Memoir in Books,Single,Azar Nafisi,133076.0,8004.0,356.0,2003.0,Random House Trade Paperbacks,Nonfiction,1,1174,2,3.62
141,703,The Plot Against America,Single,Philip Roth,60075.0,4578.0,391.0,2005.0,Vintage International,Fiction,1,975,5,3.76
142,3950967,The Tales of Beedle the Bard,Hogwarts Library,J.K. Rowling,449773.0,16488.0,109.0,2008.0,Bloomsbury,Fantasy,1,921,1,4.04
143,15783514,The Ocean at the End of the Lane,Single,Neil Gaiman,529779.0,51169.0,181.0,2013.0,William Morrow Books,Fantasy,1,1703,5,4.0
144,6101138,Wolf Hall,Thomas Cromwell,Hilary Mantel,190389.0,17134.0,653.0,2010.0,HarperCollins Publishers Ltd,Historical,1,954,9,3.87
145,28194,Inkheart,Inkworld,Cornelia Funke,404393.0,12711.0,563.0,2005.0,Scholastic Paperbacks,Fantasy,1,1053,8,3.89
146,24770,Uglies,Uglies,Scott Westerfeld,606164.0,24334.0,425.0,2005.0,Simon Pulse,Young Adult,1,985,8,3.85
147,7331435,A Visit from the Goon Squad,Single,Jennifer Egan,188288.0,18456.0,288.0,2010.0,Knopf,Fiction,1,2782,8,3.67
149,6752378,City of Fallen Angels,The Mortal Instruments,Cassandra Clare,540243.0,24687.0,425.0,2011.0,Margaret K. McElderry Books,Fantasy,1,1320,1,4.09
150,227571,Peace Like a River,Single,Leif Enger,89109.0,8203.0,312.0,2002.0,Atlantic Monthly Press,Fiction,1,1524,4,3.96
151,5996153,Blood Promise,Vampire Academy,Richelle Mead,302541.0,10190.0,503.0,2009.0,Razorbill,Young Adult,1,1898,2,4.29
152,301082,Dead Until Dark,Sookie Stackhouse,Charlaine Harris,522819.0,18753.0,292.0,2001.0,Ace Books,Fantasy,1,487,5,3.96
153,1869,Nickel and Dimed: On (Not) Getting by in America,Single,Barbara Ehrenreich,188146.0,6693.0,240.0,2002.0,Owl Books (Henry Holt),Nonfiction,1,1391,2,3.64
154,5941033,Let the Great World Spin,Single,Colum McCann,104626.0,9325.0,351.0,2009.0,Random House,Fiction,1,2231,5,3.92
155,10357575,1Q84,1Q84,Haruki Murakami,231046.0,19418.0,925.0,2011.0,Knopf,Fiction,1,1708,4,3.92
157,16703,The Yiddish Policemen's Union,Single,Michael Chabon,80822.0,7159.0,414.0,2007.0,HarperCollins,Fiction,1,2388,8,3.71
159,7736182,The Lost Hero,The Heroes of Olympus,Rick Riordan,708516.0,24644.0,576.0,2010.0,Disney-Hyperion Books,Fantasy,1,1958,3,4.31
160,6690798,The Passage,The Passage,Justin Cronin,205307.0,19864.0,766.0,2010.0,Ballantine Books,Horror,1,1812,2,4.02
161,21671,Mystic River,Single,Dennis Lehane,147473.0,4063.0,416.0,2001.0,William Morrow Paperbacks,Mystery,1,1454,7,4.12
162,3367956,Hotel on the Corner of Bitter and Sweet,Single,Jamie Ford,280165.0,21221.0,290.0,2009.0,Ballantine Books,Historical,1,1361,4,4.01
163,18300212,The Trigger: Hunting the Assassin Who Brought the World to War,Single,Tim Butcher,6641.0,261.0,352.0,2014.0,Chatto  Windus,History,1,1846,0,3.67
164,43944,Suite Française,Single,Irène Némirovsky,74803.0,6657.0,431.0,2007.0,Vintage,Fiction,1,2649,5,3.81
165,6280118,One Day,Single,David Nicholls,306143.0,18074.0,435.0,2009.0,Hodder & Stoughton,Fiction,1,245,4,3.8
166,21686,Shutter Island,Single,Dennis Lehane,188042.0,8924.0,369.0,2004.0,HarperTorch,Mystery,1,1134,4,4.07
167,18749,Half of a Yellow Sun,Single,Chimamanda Ngozi Adichie,128571.0,9950.0,433.0,2006.0,Knopf,Fiction,1,1919,5,4.3
168,27003,The Eyre Affair,Thursday Next,Jasper Fforde,138228.0,10623.0,374.0,2003.0,Penguin Books,Fantasy,1,1987,5,3.86
169,1215032,The Wise Man's Fear,The Kingkiller Chronicle,Patrick Rothfuss,475715.0,23504.0,994.0,2011.0,DAW Books,Fantasy,1,2184,5,4.53
171,6479259,Spirit Bound,Vampire Academy,Richelle Mead,282042.0,9246.0,489.0,2010.0,Razorbill,Young Adult,1,1969,3,4.31
174,22557272,The Girl on the Train,Single,Paula Hawkins,2385274.0,114722.0,325.0,2015.0,Riverhead Books,Fiction,1,1056,5,3.94
176,45162,Fingersmith,Single,Sarah Waters,98933.0,6391.0,548.0,2002.0,Riverhead Books,Historical,1,1496,5,3.98
177,11614718,Delirium,Delirium,Lauren Oliver,447003.0,27082.0,441.0,2012.0,HarperCollins,Young Adult,1,1044,4,3.96
178,10818853,Fifty Shades of Grey,Fifty Shades,E.L. James,2159602.0,79943.0,356.0,2011.0,Vintage,Romance,1,1368,3,3.66
180,10025305,Clockwork Prince,The Infernal Devices,Cassandra Clare,499869.0,26321.0,498.0,2011.0,Margaret K. McElderry Books,Fantasy,1,1971,2,4.41
181,943402,Let the Right One In,Let the Right One In,John Ajvide Lindqvist,102411.0,6369.0,513.0,2007.0,Quercus Publishing,Horror,1,976,1,4.02
182,5015,Saturday,Single,Ian McEwan,71283.0,4090.0,289.0,2006.0,Anchor,Fiction,1,1620,2,3.62
183,7735333,Matched,Matched,Ally Condie,711393.0,33998.0,369.0,2010.0,Dutton Books for Young Readers,Young Adult,1,1036,8,3.65
184,6801755,Flow Down Like Silver: Hypatia of Alexandria,Single,Ki Longfellow,7427.0,224.0,301.0,2009.0,Eio Books,Historical,1,1371,0,3.78
185,6080337,The Year of the Flood,MaddAddam,Margaret Atwood,119675.0,7932.0,431.0,2009.0,Doubleday Nan A. Talese,Fiction,1,1746,5,4.03
186,2199,Team of Rivals: The Political Genius of Abraham Lincoln,Single,Doris Kearns Goodwin,177927.0,7499.0,916.0,2006.0,Simon & Schuster,History,0,2129,4,4.22
188,14995,Odd Thomas,Odd Thomas,Dean Koontz,267754.0,7729.0,446.0,2006.0,Bantam,Horror,1,1205,1,3.96
189,17159076,High in School,Single,Salman Aditya,4854.0,67.0,234.0,2012.0,Bantam,Humor,0,994,0,3.52
190,11387515,Wonder,Wonder,R.J. Palacio,876968.0,69560.0,315.0,2012.0,Alfred A. Knopf,Young Adult,0,878,23,4.4
193,37190,The Tale of Despereaux,Single,Kate DiCamillo,179012.0,10611.0,267.0,2008.0,Candlewick Press,Fantasy,1,1119,17,4.03
194,6527740,Last Sacrifice,Vampire Academy,Richelle Mead,276119.0,11646.0,594.0,2010.0,Razorbill,Young Adult,1,2007,1,4.36
195,9838,The Bookseller of Kabul,Single,Åsne Seierstad,53891.0,3398.0,288.0,2004.0,"Little, Brown and Company",Nonfiction,1,2090,1,3.74
196,4374400,If I Stay,If I Stay,Gayle Forman,774688.0,39394.0,201.0,2009.0,Viking,Young Adult,1,940,12,3.93
199,18710190,Allegiant,Divergent,Veronica Roth,914748.0,67263.0,526.0,2013.0,HarperCollins Children's Book's,Young Adult,1,1413,1,3.62
200,21853621,The Nightingale,Single,Kristin Hannah,862464.0,74049.0,448.0,2015.0,St. Martin's Press,Historical,1,2107,3,4.57
202,3682,A Great and Terrible Beauty,Gemma Doyle,Libba Bray,228481.0,10073.0,403.0,2003.0,Simon and Schuster,Fantasy,1,1131,2,3.78
203,6442769,Paper Towns,Single,John Green,1073227.0,50646.0,305.0,2009.0,Speak,Young Adult,1,958,10,3.76
204,7896527,Throne of Glass,Throne of Glass,Sarah J. Maas,758155.0,52037.0,406.0,2012.0,Bloomsbury USA Children's,Fantasy,0,1577,3,4.18
206,45978,Eldest,The Inheritance Cycle,Christopher Paolini,394173.0,10134.0,704.0,2007.0,Knopf Books for Young Readers,Fantasy,1,1486,4,3.99
207,40200,The Crimson Petal and the White,Single,Michel Faber,44520.0,3313.0,835.0,2003.0,Canongate Books,Historical,1,351,2,3.84
208,3086160,The Hour I First Believed,Single,Wally Lamb,62310.0,6604.0,740.0,2008.0,Harper,Fiction,1,2772,1,3.8
209,18335634,Clockwork Princess,The Infernal Devices,Cassandra Clare,394265.0,33913.0,567.0,2013.0,Walker Books Ltd,Fantasy,1,1683,1,4.54
210,8755776,City of Lost Souls,The Mortal Instruments,Cassandra Clare,477450.0,21662.0,535.0,2012.0,Margaret K. McElderry Books,Fantasy,1,1323,1,4.23
211,6433752,The Lacuna,Single,Barbara Kingsolver,69769.0,7969.0,508.0,2009.0,Harper,Fiction,1,2398,3,3.76
212,97782,Then We Came to the End,Single,Joshua Ferris,36761.0,4831.0,387.0,2007.0,"Little, Brown and Company",Fiction,1,852,5,3.46
213,15796700,Americanah,Single,Chimamanda Ngozi Adichie,312461.0,25883.0,477.0,2013.0,Alfred A. Knopf,Fiction,0,928,5,4.3
214,3273,Moloka'i,Moloka'i,Alan Brennert,119844.0,10498.0,405.0,2004.0,St. Martin's Griffin,Historical,1,880,1,4.15
215,775346,The Little Friend,Single,Donna Tartt,58167.0,5256.0,624.0,2003.0,Vintage,Fiction,1,1093,2,3.47
216,6487308,Fallen,Fallen,Lauren Kate,542549.0,20447.0,452.0,2009.0,Delacorte Press,Young Adult,1,995,0,3.72
217,53450218,The Past,VanWest,Kenneth   Thomas,10723.0,269.0,195.0,2020.0,Delacorte Press,Science Fiction,0,891,0,4.25
218,36381037,Cinder,The Lunar Chronicles,Marissa Meyer,781914.0,59405.0,400.0,2012.0,Feiwel & Friends,Young Adult,0,1077,9,4.13
219,2800905,The Summoning,Darkest Powers,Kelley Armstrong,172429.0,6384.0,390.0,2008.0,HarperCollins,Young Adult,1,1353,1,4.0
220,3110,Assassination Vacation,Single,Sarah Vowell,50382.0,3907.0,258.0,2006.0,Simon  Schuster,Nonfiction,1,1870,0,3.88
222,6068551,Shiver,The Wolves of Mercy Falls,Maggie Stiefvater,465040.0,23542.0,392.0,2009.0,Scholastic Press,Young Adult,1,968,9,3.76
223,452306,The Sisterhood of the Traveling Pants,Sisterhood,Ann Brashares,659268.0,7688.0,294.0,2001.0,Delacorte Press,Young Adult,1,1191,11,3.81
224,43015,A Long Way Gone: Memoirs of a Boy Soldier,Single,Ishmael Beah,181655.0,11167.0,229.0,2007.0,Sarah Crichton Books,Nonfiction,1,1979,4,4.12
225,366522,P.S. I Love You,P.S. I Love You,Cecelia Ahern,358969.0,8968.0,501.0,2005.0,Hachette Books,Romance,1,1257,0,4.02
226,2595138,The Gargoyle,Single,Andrew Davidson,49558.0,5661.0,468.0,2008.0,Doubleday Books,Fiction,1,1859,2,3.92
